,date,close,high,low,open,volume
2754,2010-12-14,262.6600036621094,264.8900146484375,261.7799987792969,264.8900146484375,283100
2755,2010-12-15,262.54998779296875,264.82000732421875,262.0400085449219,262.0400085449219,260600
2756,2010-12-16,269.1099853515625,269.7200012207031,262.94000244140625,264.010009765625,452400
2757,2010-12-17,269.989990234375,271.0,269.1099853515625,269.1099853515625,537400
2758,2010-12-20,272.7699890136719,272.8699951171875,269.20001220703125,271.67999267578125,365400
2759,2010-12-21,272.19000244140625,273.3999938964844,271.4200134277344,273.0400085449219,355600
2760,2010-12-22,272.05999755859375,273.0,271.0899963378906,273.0,194600
2761,2010-12-23,271.8999938964844,272.69000244140625,270.9800109863281,272.1000061035156,144200
2762,2010-12-27,270.9200134277344,271.6199951171875,270.0,271.54998779296875,106000
2763,2010-12-28,272.4700012207031,272.55999755859375,270.5199890136719,270.9800109863281,285000
2764,2010-12-29,273.6400146484375,274.5,272.010009765625,272.489990234375,245900
2765,2010-12-30,275.5,276.0,273.6199951171875,273.75,153400
2766,2010-12-31,272.5899963378906,275.0400085449219,272.25,274.9599914550781,159100
2767,2011-01-03,268.3999938964844,273.989990234375,266.6099853515625,273.489990234375,618100
2768,2011-01-04,258.3599853515625,269.1499938964844,257.07000732421875,269.1499938964844,1115900
2769,2011-01-05,255.1999969482422,258.8900146484375,254.83999633789062,256.9100036621094,825000
2770,2011-01-06,249.5500030517578,254.94000244140625,246.6199951171875,254.0399932861328,1103100
2771,2011-01-07,250.6699981689453,253.1699981689453,249.41000366210938,250.75999450683594,817700
2772,2011-01-10,252.74000549316406,254.17999267578125,249.75,249.77999877929688,618200
2773,2011-01-11,251.52000427246094,254.72000122070312,250.00999450683594,253.49000549316406,417100
2774,2011-01-12,251.16000366210938,252.75999450683594,249.6199951171875,252.0500030517578,633100
2775,2011-01-13,251.92999267578125,252.8300018310547,250.13999938964844,251.27000427246094,477500
2776,2011-01-14,252.6199951171875,253.22000122070312,249.77000427246094,251.25999450683594,426700
2777,2011-01-18,250.58999633789062,253.3300018310547,250.22000122070312,251.83999633789062,478800
2778,2011-01-19,249.99000549316406,252.0,249.07000732421875,250.85000610351562,666400
2779,2011-01-20,252.55999755859375,252.80999755859375,249.0,249.52000427246094,648100
2780,2011-01-21,252.1300048828125,254.9600067138672,251.77000427246094,253.97000122070312,770300
2781,2011-01-24,251.49000549316406,253.00999450683594,249.9199981689453,252.5,469100
2782,2011-01-25,248.6999969482422,251.58999633789062,247.35000610351562,249.5,487100
2783,2011-01-26,250.07000732421875,251.8300018310547,246.25999450683594,249.1999969482422,523000
2784,2011-01-27,256.1000061035156,257.989990234375,250.24000549316406,250.41000366210938,579500
2785,2011-01-28,251.05999755859375,257.3999938964844,250.6199951171875,256.79998779296875,390100
2786,2011-01-31,253.52999877929688,255.3800048828125,251.07000732421875,251.38999938964844,360400
2787,2011-02-01,255.0,255.2100067138672,251.8000030517578,254.57000732421875,340100
2788,2011-02-02,251.75999450683594,254.9499969482422,251.05999755859375,254.7899932861328,270400
2789,2011-02-03,255.00999450683594,255.6999969482422,251.36000061035156,251.36000061035156,421200
